RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.00000000000000e-03 +5.23729944727598e+24 +1.34559540602020e+26 +1.34559540602020e+02 +0.00000000000000e+00 +0.00000000000000e+00 +7.73857796894105e+23 +1.61805899932235e+25 +4.54405967028310e-02 +3.89217994045184e-02 +3.02937311352207e-02 
+1.14975699539774e-03 +6.15894860108320e+24 +1.39347819278500e+26 +1.60216130008875e+02 +0.00000000000000e+00 +0.00000000000000e+00 +9.92292909004674e+23 +1.79009152135367e+25 +4.82849093924128e-02 +4.41983852562052e-02 +3.21899395949419e-02 
+1.32194114846603e-03 +7.45834385969504e+24 +1.45040467811789e+26 +1.91734962593167e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.30704343781174e+24 +2.01137007319375e+25 +5.23851799445133e-02 +5.14225027829703e-02 +3.49234532963422e-02 
+1.51991108295293e-03 +9.25466970353605e+24 +1.51507073361284e+26 +2.30277279947578e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.75210355934778e+24 +2.28891098566291e+25 +5.82196877702482e-02 +6.10840767907078e-02 +3.88131251801655e-02 
+1.74752840000768e-03 +1.16671382029702e+25 +1.58398491985504e+26 +2.76805863263058e+02 +0.00000000000000e+00 +0.00000000000000e+00 +2.36403548034431e+24 +2.62519098175898e+25 +6.63478870900923e-02 +7.36568767588897e-02 +4.42319247267282e-02 
+2.00923300256505e-03 +1.47859522015190e+25 +1.65122972853751e+26 +3.31770526539408e+02 +0.00000000000000e+00 +0.00000000000000e+00 +3.17478373404803e+24 +3.01499453052983e+25 +7.73459547124850e-02 +8.95450944588728e-02 +5.15639698083233e-02 
+2.31012970008316e-03 +1.86132012980756e+25 +1.70756257179699e+26 +3.94469101185862e+02 +0.00000000000000e+00 +0.00000000000000e+00 +4.19659148206567e+24 +3.43962098650547e+25 +9.16113595915264e-02 +1.09004505050070e-01 +6.10742397276842e-02 
+2.65608778294669e-03 +2.30237223395015e+25 +1.74263242022457e+26 +4.62858468152531e+02 +0.00000000000000e+00 +0.00000000000000e+00 +5.40958191863823e+24 +3.86771074424061e+25 +1.09206976849716e-01 +1.32120360394388e-01 +7.28046512331438e-02 
+3.05385550883342e-03 +2.77381262499618e+25 +1.74685040441274e+26 +5.33462873062374e+02 +0.00000000000000e+00 +0.00000000000000e+00 +6.75184539525326e+24 +4.25772420187778e+25 +1.29664646841365e-01 +1.58789362729013e-01 +8.64430978942431e-02 
+3.51119173421513e-03 +3.23720645409364e+25 +1.71508378372818e+26 +6.02198800491278e+02 +0.00000000000000e+00 +0.00000000000000e+00 +8.12838712363392e+24 +4.56931920735090e+25 +1.52030732756801e-01 +1.88749172769667e-01 +1.01353821837868e-01 
+4.03701725859655e-03 +3.65426744587162e+25 +1.64862357261707e+26 +6.65552181558423e+02 +0.00000000000000e+00 +0.00000000000000e+00 +9.43687534042522e+24 +4.77548976491166e+25 +1.75123726920098e-01 +2.21655659094497e-01 +1.16749151280065e-01 
+4.64158883361278e-03 +3.99631955093517e+25 +1.55430443020839e+26 +7.21444208729012e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.05936509824051e+25 +4.86865165420845e+25 +1.97857292082006e-01 +2.57113051553188e-01 +1.31904861388004e-01 
+5.33669923120631e-03 +4.25048285549521e+25 +1.44209751603903e+26 +7.69604070517003e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.15531849967989e+25 +4.86000109967153e+25 +2.19542285059300e-01 +2.94743095263758e-01 +1.46361523372867e-01 
+6.13590727341317e-03 +4.41780700733625e+25 +1.32179697922568e+26 +8.11042369880641e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.23067980540920e+25 +4.77116998369727e+25 +2.39921438576662e-01 +3.34227349341064e-01 +1.59947625717775e-01 
+7.05480231071865e-03 +4.50890910845842e+25 +1.20123998290411e+26 +8.47451060711953e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.28731180977373e+25 +4.62670048507291e+25 +2.59103848493306e-01 +3.75354564668895e-01 +1.72735898995537e-01 
+8.11130830789687e-03 +4.53762096531779e+25 +1.08563813273088e+26 +8.80594560538963e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.32825843585033e+25 +4.44825882004664e+25 +2.77399728709990e-01 +4.17968089781775e-01 +1.84933152473327e-01 
+9.32603346883220e-03 +4.51784910813498e+25 +9.77887846223758e+25 +9.11981478264700e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.35681685308766e+25 +4.25247433563035e+25 +2.95194985141251e-01 +4.62000742271340e-01 +1.96796656760834e-01 
+1.07226722201032e-02 +4.46164556343819e+25 +8.79244361245325e+25 +9.42784908700765e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.37599346487303e+25 +4.05104089860234e+25 +3.12882940778596e-01 +5.07440907226167e-01 +2.08588627185730e-01 
+1.23284673944207e-02 +4.37887602049035e+25 +7.89901017036535e+25 +9.73826893335464e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.38830651091618e+25 +3.85138586883701e+25 +3.30810678361090e-01 +5.54357562029549e-01 +2.20540452240726e-01 
+1.41747416292680e-02 +4.27676354935024e+25 +7.09471003423146e+25 +1.00565681669806e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.39565879225746e+25 +3.65796422511406e+25 +3.49276473640588e-01 +6.02810196430180e-01 +2.32850982427059e-01 
+1.62975083462064e-02 +4.16125555716692e+25 +6.37295699613942e+25 +1.03863319834597e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.39963423930924e+25 +3.47322138188736e+25 +3.68535753565014e-01 +6.52955223091527e-01 +2.45690502376676e-01 
+1.87381742286038e-02 +4.03631955186620e+25 +5.72623709575170e+25 +1.07299228374490e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40131188275125e+25 +3.29836950892608e+25 +3.88812309130565e-01 +7.04881667379918e-01 +2.59208206087043e-01 
+2.15443469003188e-02 +3.90518819428430e+25 +5.14697741056448e+25 +1.10888266821306e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40158496988934e+25 +3.13381211109254e+25 +4.10299783419692e-01 +7.58734278932072e-01 +2.73533188946461e-01 
+2.47707635599171e-02 +3.77032446979855e+25 +4.62815743039957e+25 +1.14642993426501e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40116041601125e+25 +2.97959145478331e+25 +4.33181959260993e-01 +8.14649139857163e-01 +2.88787972840662e-01 
+2.84803586843580e-02 +3.63344938995115e+25 +4.16344133054291e+25 +1.18576302455143e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40056086052624e+25 +2.83558655564815e+25 +4.57640100395045e-01 +8.72703396417826e-01 +3.05093400263364e-01 
+3.27454916287773e-02 +3.49621266860613e+25 +3.74720214007950e+25 +1.22703976309310e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40031356776024e+25 +2.70162308595902e+25 +4.83866225382308e-01 +9.33019500392353e-01 +3.22577483588205e-01 
